Acidimicrobiia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Babeliae	Bacilli	Bacteroidia	BD2-11_terrestrial_group	Blastocatellia_(Subgroup_4)	Campylobacteria	Chlamydiae	Chloroflexia	Chthonomonadetes	Clostridia	Coriobacteriia	Deinococci	Deltaproteobacteria	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gracilibacteria	Holophagae	KD4-96	Kiritimatiellae	Leptospirae	Melainabacteria	Methanobacteria	Mollicutes	NC10	Negativicutes	Nitrososphaeria	OM190	Oxyphotobacteria	Parcubacteria	Phycisphaerae	Planctomycetacia	Saccharimonadia	Spirochaetia	Subgroup_17	Subgroup_6	Thermoleophilia	Thermoplasmata	TK10	Verrucomicrobiae	NA
B17.1F.S22	0	0	34	51505	0	0	16	56	0	0	0	0	0	0	0	0	0	0	10	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6680	0	0	0	0	0	0	43
B17.1M.S21	0	0	156	42433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13779	0	0	0	0	0	0	21
B17.2F.S23	0	0	182	62998	0	0	13	39	0	0	0	0	0	0	95	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4861	0	0	40	0	0	7	149
BLANK.H11.S95	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
BLANK.H12.S96	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CA17.17F.S62	0	0	25	45574	0	0	36	108	0	0	0	0	0	0	75	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	0	0	0	12	0	0	47
CA17.18F.S63	0	16	2	72245	0	0	49	10	0	0	0	0	0	0	0	0	0	34	0	0	124	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	115	0	0	0	0	0	0	255
CA17.19F.S64	0	0	41	55064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	31
CA17.20F.S65	0	0	45	62035	0	0	0	5	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	83
CA17.21F.S66	0	0	15	63334	0	0	0	34	0	0	0	0	0	0	31	0	0	0	0	0	129	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	2488	0	0	0	0	0	0	52
CA17.22F.S67	0	0	8	24620	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6858	0	0	0	0	0	0	12
CE17.1F.S78	0	0	56	80998	0	0	47	73	0	0	0	0	0	0	27	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	43
CR17.13F.S68	0	0	14	11750	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1379	0	0	0	0	0	0	11
CR17.14F.S69	11	0	215	31809	0	0	30	132	10	56	0	0	9	0	0	0	0	20	0	0	239	0	0	0	13	0	0	0	0	0	13	0	19	40	0	0	29	16	0	1	12	20	41	0	0	28	183
CR17.15F.S70	0	0	91	33807	0	0	13	23	0	0	0	0	0	0	16	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	72
CR17.16F.S71	1	0	721	40534	0	0	86	354	0	0	0	0	0	0	71	0	0	1	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	5	0	0	1448	0	0	13	0	0	0	128
CR17.17F.S72	0	0	119	63824	0	0	26	86	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	66
CR17.18F.S73	0	0	861	54485	0	0	29	74	0	0	0	0	0	0	34	0	0	3	0	0	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	39
CR17.19F.S74	0	0	439	41011	0	0	12	412	0	0	0	0	0	0	1	6	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	31	0	0	0	0	0	0	0	25
CR17.20F.S75	17	0	173	80165	0	0	0	470	0	0	0	0	0	38	0	0	37	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9633	0	0	0	0	0	0	83
CR17.21F.S76	0	0	116	56369	0	0	0	208	0	0	0	17	0	0	45	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	0	0	10	0	0	0	203
CR17.22F.S77	0	0	211	78381	47	0	0	105	0	0	0	0	0	0	52	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	20
IS17.21F.S84	0	0	24	73613	0	0	0	159	0	0	0	0	0	0	45	0	0	34	0	0	226	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19
IS17.22F.S85	0	0	32	62063	0	0	0	53	0	0	0	0	0	0	74	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	33
IS17.23F.S86	0	0	32	49770	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
IS17.24F.S87	0	0	99	53675	0	0	346	274	0	0	0	0	0	0	185	0	0	12	93	0	75	0	0	62	0	0	0	11	0	0	0	76	0	0	0	0	0	0	0	21790	0	0	0	0	0	206	175
IS17.25F.S88	0	0	30	59246	0	0	54	140	0	0	0	0	0	0	39	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	108
IS17.26F.S89	0	0	69	74680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	4	0	0	0	0	0	0	106
IS17.27F.S90	0	0	108	67471	0	0	0	13	0	0	0	0	0	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	89
IS17.28F.S91	0	0	108	49652	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	47	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	44
IS17.29F.S92	0	0	21	61939	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	68
IS17.30F.S93	0	0	255	33797	0	0	0	76	0	0	0	0	0	0	0	4	0	12	0	0	71	0	0	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	0	11490	0	0	0	0	0	15	30
IS17.37F.S94	8	20	37	38284	0	0	23	61	0	0	0	0	0	0	55	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	41	0	27	146
KF17.1M.S1	0	0	383	44356	0	0	0	186	0	0	0	0	0	0	374	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	238
KF17.2M.S2	0	0	1762	1539	0	0	0	600	0	0	0	144	0	0	350	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	1	0	0	0	0	0	0	938
KF17.3M.S3	0	0	84	76724	0	0	1502	536	0	0	0	85	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	7	0	0	0	0	0	0	109
KF17.4M.S4	0	0	404	60816	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	118
KF17.5M.S5	0	0	12	56847	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8958	0	0	0	0	0	0	46
KF17.6M.S6	0	0	312	80523	0	0	290	69	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	228
KF17.7M.S7	0	0	99	71315	0	68	0	150	0	0	0	0	0	0	0	0	0	1	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	51
RDWB17.1F.S80	6	7	575	50122	0	0	0	255	0	0	0	4	0	0	0	0	0	17	0	0	472	0	0	0	35	0	0	0	0	0	0	0	0	0	0	10	0	0	0	11566	0	0	9	0	0	15	86
RDWB17.1M.S79	0	0	1028	8584	0	0	599	746	0	0	0	0	0	0	0	0	0	118	0	0	1126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	28	153
