0319-6G20	37-13	67-14	Acetobacteraceae	Acidobacteriaceae_(Subgroup_1)	Actinomycetaceae	AKIW781	Akkermansiaceae	Amoebophilaceae	Anaerolineaceae	Anaplasmataceae	Archangiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Bdellovibrionaceae	Beijerinckiaceae	BIrii41	Blastocatellaceae	Blattabacteriaceae	Brevibacteriaceae	Burkholderiaceae	Caedibacteraceae	Carnobacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chitinibacteraceae	Chitinophagaceae	Chthoniobacteraceae	Chthonomonadaceae	Clostridiaceae_1	Corynebacteriaceae	Crocinitomicaceae	Cryptosporangiaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Devosiaceae	Dietziaceae	Diplorickettsiaceae	Dongiaceae	Enterobacteriaceae	env.OPS_17	Erysipelotrichaceae	Family_X	Family_XI	Family_XI_2	Family_XI_2II	Family_XII	Flavobacteriaceae	Frankiaceae	Fusobacteriaceae	Gaiellaceae	Gemmataceae	Gemmatimonadaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hymenobacteraceae	Hyphomonadaceae	Iamiaceae	Ilumatobacteraceae	Isosphaeraceae	JG30-KF-CM45	KF-JG30-B3	Kineosporiaceae	Labraceae	Lachnospiraceae	Lactobacillaceae	Legionellaceae	Leptospiraceae	Leptotrichiaceae	Methanobacteriaceae	Methanomethylophilaceae	Methylophilaceae	Methylopilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Microscillaceae	Microtrichaceae	Mitochondria	Moraxellaceae	Muribaculaceae	Mycobacteriaceae	Nakamurellaceae	Neisseriaceae	Nitrosomonadaceae	Nitrososphaeraceae	Nocardiaceae	Nocardioidaceae	NS11-12_marine_group	Oligoflexaceae	p-2534-18B5_gut_group	P3OB-42	Paenibacillaceae	Paracaedibacteraceae	Parachlamydiaceae	Pasteurellaceae	Pedosphaeraceae	Pirellulaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Pyrinomonadaceae	Reyranellaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rickettsiaceae	Rikenellaceae	Rubinisphaeraceae	Rubritaleaceae	Ruminococcaceae	Saccharimonadaceae	Saprospiraceae	SC-I-84	Schlesneriaceae	Solibacteraceae_(Subgroup_3)	Solimonadaceae	Solirubrobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Spirosomaceae	Spongiibacteraceae	Sporichthyaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Tepidisphaeraceae	UBA12409	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	WD2101_soil_group	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	NA
B17.1F.S22	0	0	0	0	0	0	0	0	0	0	1734	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	5	0	0	0	49764	1	0	0	0	0	0	0	0	0	0	0	0	2	6680	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	47
B17.1M.S21	0	0	0	0	0	7	0	0	0	0	6117	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	36312	0	0	0	0	0	0	0	0	0	0	0	0	4	13779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21
B17.2F.S23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	20	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1	39	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	16	0	0	62908	0	0	7	36	0	0	0	0	0	0	20	0	32	4861	0	0	0	0	0	0	0	0	0	0	0	0	0	26	54	192
BLANK.H11.S95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLANK.H12.S96	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA17.17F.S62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	6	9	0	0	0	0	128	0	0	45535	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	0	0	0	0	0	0	0	0	0	0	0	0	0	21	22	114
CA17.18F.S63	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	68	0	0	72243	0	0	0	0	0	0	0	0	16	0	0	0	0	115	0	0	0	0	18	0	0	0	0	15	0	0	0	0	0	289
CA17.19F.S64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	44	0	0	0	0	29	3	0	55060	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
CA17.20F.S65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	62035	0	0	0	47	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
CA17.21F.S66	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	4	0	0	0	0	0	108	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	63304	0	0	0	1	0	0	0	0	0	0	0	0	21	2488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
