[Eubacterium]_coprostanoligenes_group	[Ruminococcus]_gauvreauii_group	1174-901-12	AAP99	Acidiphilium	Acinetobacter	Actinobacillus	Actinomyces	Actinomycetospora	Adhaeribacter	Aeromicrobium	Afipia	Akkermansia	Alistipes	Alloprevotella	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Altererythrobacter	Amnibacterium	Anaerobacillus	Anaerococcus	Anaeromyxobacter	Anaerostipes	Anaplasma	Arcicella	Arenimonas	Aurantimicrobium	Aureimonas	Bacillus	Bacteroides	BD1-7_clade	Bdellovibrio	Belnapia	Bergeyella	Blautia	Borrelia	Borreliella	Bosea	Brachybacterium	Brevibacterium	Brevundimonas	Bryobacter	Burkholderia-Caballeronia-Paraburkholderia	Caedibacter	Candidatus_Aquiluna	Candidatus_Cardinium	Candidatus_Megaira	Candidatus_Methanomethylophilus	Candidatus_Methanoplasma	Candidatus_Nitrocosmicus	Candidatus_Nostocoida	Candidatus_Paracaedibacter	Candidatus_Saccharimonas	Candidatus_Uzinura	Capnocytophaga	Cellulomonas	Cellvibrio	Chryseobacterium	Chthoniobacter	Chthonomonas	Cloacibacterium	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_12	Clostridium_sensu_stricto_13	Clostridium_sensu_stricto_2	Coprococcus_2	Coriobacteriaceae_UCG-003	Corynebacterium	Corynebacterium_1	Cutibacterium	Cytophaga	Deefgea	Deinococcus	Devosia	Dietzia	Dokdonella	Dongia	DSSD61	Dyadobacter	Ehrlichia	Ellin6067	Enhydrobacter	Epulopiscium	Erysipelotrichaceae_UCG-004	Exiguobacterium	Family_XIII_UCG-001	Ferruginibacter	Fibrella	Fimbriiglobus	Finegoldia	Flavobacterium	Flexilinea	Fluviicola	Fodinicola	Fusobacterium	Gaiella	GCA-900066575	Gemella	Gemmata	Geodermatophilus	Haemophilus	Halomonas	Helicobacter	hgcI_clade	Hirschia	Huanghella	Hymenobacter	Iamia	IMCC26207	IS-44	Jatrophihabitans	Kineococcus	Kingella	Kocuria	Labrys	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lactobacillus	Lautropia	Lawsonella	Legionella	Leptotrichia	Leucobacter	Luteibacter	Luteimonas	Luteolibacter	Lysobacter	Marmoricola	Massilia	Megamonas	Mesorhizobium	Methanobrevibacter	Methylobacterium	Methylopila	Methylorosula	Methylotenera	Microbacterium	Micrococcus	MND1	Mogibacterium	Moraxella	Mucilaginibacter	Muribaculum	Mycobacterium	Nakamurella	Neisseria	Nocardioides	Nosocomiicoccus	Noviherbaspirillum	Novosphingobium	Ochrobactrum	Ohtaekwangia	Oligoflexus	Paenibacillus	Pajaroellobacter	Paludibaculum	Parasutterella	Patulibacter	Pedobacter	Peptoniphilus	Phyllobacterium	Pir4_lineage	Planctomicrobium	Polycyclovorans	Polynucleobacter	Porphyromonas	Prevotella	Prevotella_2	Prevotella_6	Prevotella_7	Prosthecobacter	Pseudarcicella	Pseudochrobactrum	Pseudomonas	Pseudonocardia	Psychroglaciecola	Quadrisphaera	Ralstonia	RB41	Reyranella	Rhizorhapis	Rhodococcus	Rhodoplanes	Rhodopseudomonas	Rhodovarius	Rickettsia	Rickettsiella	Rikenellaceae_RC9_gut_group	Roseomonas	Rothia	Ruminococcaceae_NK4A214_group	Ruminococcus_1	Ruminococcus_2	Schlesneria	SH-PL14	Singulisphaera	Solirubrobacter	Solitalea	Sphaerotilus	Sphingobacterium	Sphingomonas	Sphingopyxis	Spirosoma	Sporichthya	Staphylococcus	Stenotrophobacter	Stenotrophomonas	Streptococcus	Streptomyces	SWB02	Tardiphaga	Tepidimonas	Tepidisphaera	Terriglobus	Terrimonas	Thermicanus	Turneriella	Veillonella	Verticia	WCHB1-32	Williamsia	Wolbachia	NA
B17.1F.S22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1734	0	0	0	0	0	0	0	0	0	0	0	40	6640	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	49734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86
B17.1M.S21	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	72	0	0	0	0	0	0	0	0	0	5987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189
B17.2F.S23	0	0	0	0	0	1	0	0	0	0	0	26	0	0	0	0	32	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	4861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	15	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	39	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62908	0	0	0	0	0	36	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222
BLANK.H11.S95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLANK.H12.S96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CA17.17F.S62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1749	0	0	0	17	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	45535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	238
CA17.18F.S63	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	72243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295
CA17.19F.S64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	55060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
CA17.20F.S65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130
CA17.21F.S66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	108	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	5	0	99
