Archaea	Bacteria	NA
B17.1F.S22	0	58364	11
B17.1M.S21	0	56414	15
B17.2F.S23	0	68367	109
BLANK.H11.S95	0	159	0
BLANK.H12.S96	0	209	0
CA17.17F.S62	12	47790	28
CA17.18F.S63	0	72640	225
CA17.19F.S64	0	55200	31
CA17.20F.S65	0	62133	83
CA17.21F.S66	0	66063	52
CA17.22F.S67	0	31516	10
CE17.1F.S78	0	81263	43
CR17.13F.S68	0	13173	4
CR17.14F.S69	19	32853	74
CR17.15F.S70	0	34001	63
CR17.16F.S71	0	43856	91
CR17.17F.S72	0	64466	4
CR17.18F.S73	0	56486	26
CR17.19F.S74	0	42078	18
CR17.20F.S75	0	90861	77
CR17.21F.S76	0	57095	159
CR17.22F.S77	0	79014	16
IS17.21F.S84	0	74106	19
IS17.22F.S85	0	62243	33
IS17.23F.S86	0	50146	49
IS17.24F.S87	0	76906	173
IS17.25F.S88	0	59576	108
IS17.26F.S89	0	74868	106
IS17.27F.S90	0	67645	69
IS17.28F.S91	0	49899	44
IS17.29F.S92	0	62023	68
IS17.30F.S93	0	45745	29
IS17.37F.S94	41	38717	92
KF17.1M.S1	0	45537	238
KF17.2M.S2	0	5997	463
KF17.3M.S3	0	79045	109
KF17.4M.S4	0	61966	95
KF17.5M.S5	0	65950	46
KF17.6M.S6	0	81484	228
KF17.7M.S7	0	71669	51
RDWB17.1F.S80	0	63157	22
RDWB17.1M.S79	0	12285	99
RDWB17.2F.S81	0	43576	50
RDWB17.3F.S82	0	50151	8
RDWB17.4F.S83	53	53307	6
SG17.10F.S38	51	57818	8
SG17.10M.S49	0	35204	50
SG17.11F.S39	0	84299	49
SG17.11M.S50	0	54058	35
SG17.12M.S51	0	47545	175
SG17.13M.S52	0	39809	7
SG17.14M.S53	0	40960	33
SG17.15M.S54	0	49296	12
SG17.16M.S55	0	24569	33
SG17.17M.S56	0	41150	65
SG17.1F.S29	0	76176	179
SG17.1M.S40	0	6810	139
SG17.2F.S30	0	94595	46
SG17.2M.S41	0	24396	1799
SG17.3F.S31	0	59041	53
SG17.3M.S42	0	63151	87
SG17.4F.S32	0	71434	65
SG17.4M.S43	0	35037	74
SG17.5F.S33	0	58638	49
SG17.5M.S44	0	64938	81
SG17.6F.S34	0	50239	68
SG17.6M.S45	0	55422	18
SG17.7F.S35	0	90645	17
SG17.7M.S46	0	14315	98
SG17.8F.S36	0	83843	67
SG17.8M.S47	0	61587	68
SG17.9F.S37	0	76250	87
SG17.9M.S48	0	57426	25
TSA17.1F.S28	0	74637	108
TSA17.1M.S27	0	80240	35
WW18.10M.S20	0	43590	39
WW18.1F.S8	0	83855	27
WW18.1M.S11	0	8685	144
WW18.2F.S9	0	63755	30
WW18.2M.S12	0	73516	133
WW18.3F.S10	0	68706	27
WW18.3M.S13	0	38589	116
WW18.4M.S14	0	44883	36
WW18.5M.S15	0	43560	61
WW18.6M.S16	0	25682	69
WW18.7M.S17	82	34528	256
WW18.8M.S18	0	69293	68
WW18.9M.S19	0	47126	101
YR17.12F.S25	0	79265	3
YR17.13F.S26	0	56569	26
YR17.1M.S24	15	19144	212
YR17.2M.S57	0	30570	119
YR17.3M.S58	0	37282	13
YR17.4M.S59	0	40230	50
YR17.5M.S60	0	35071	78
YR17.6M.S61	0	18110	37
