11-24	Absconditabacteriales_(SR1)	Acetobacterales	Acidobacteriales	Actinomycetales	Anaerolineales	Babeliales	Bacillales	Bacteroidales	Bacteroidetes_VC2.1_Bac22	Bdellovibrionales	Betaproteobacteriales	Blastocatellales	Caedibacterales	Campylobacterales	Candidatus_Kaiserbacteria	Candidatus_Peribacteria	Candidatus_Vogelbacteria	Candidatus_Zambryskibacteria	Caulobacterales	CCD24	CCM19a	Cellvibrionales	Chitinophagales	Chlamydiales	Chloroplast	Chthoniobacterales	Chthonomonadales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deinococcales	Diplorickettsiales	Dongiales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gaiellales	Gastranaerophilales	Gemmatales	Gemmatimonadales	IMCC26256	Isosphaerales	Kallotenuales	Kineosporiales	Lactobacillales	Legionellales	Leptospirales	Methanobacteriales	Methanomassiliicoccales	Micrococcales	Micromonosporales	Microtrichales	Mollicutes_RF39	Myxococcales	NB1-j	Nitrososphaerales	Oceanospirillales	Oligoflexales	Paracaedibacterales	Pasteurellales	PB19	Pedosphaerales	PeM15	Pirellulales	Planctomycetales	PLTA13	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Pyrinomonadales	Reyranellales	Rhizobiales	Rhodobacterales	Rickettsiales	Rokubacteriales	Saccharimonadales	Salinisphaerales	Selenomonadales	Solibacterales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Subgroup_7	Tepidisphaerales	Thermomicrobiales	Unknown_Order	Verrucomicrobiales	WCHB1-41	Xanthomonadales	NA
B17.1F.S22	0	0	0	0	0	0	0	0	28	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	28	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	5	0	51498	0	0	0	0	0	0	0	2	6680	0	0	0	0	0	0	0	0	47
B17.1M.S21	0	0	0	0	7	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	42429	0	0	0	0	0	0	0	4	13779	0	0	0	0	0	0	0	1	21
B17.2F.S23	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	143	0	0	0	0	0	0	0	10	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	29	1	0	0	0	29	0	62937	0	0	0	0	0	20	0	32	4861	0	0	0	0	0	7	0	70	162
BLANK.H11.S95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0
BLANK.H12.S96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CA17.17F.S62	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	17	0	0	0	64	0	0	0	0	75	0	19	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	6	9	0	0	0	21	0	45536	0	0	0	0	0	0	0	0	1749	0	0	0	0	0	0	0	150	114
CA17.18F.S63	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	2	56	0	0	0	0	0	72245	0	0	0	15	16	0	0	0	115	0	0	0	0	0	0	0	68	255
CA17.19F.S64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	44	0	0	0	1	3	55060	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	29	31
CA17.20F.S65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	19	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	62035	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	83
CA17.21F.S66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	5	0	0	0	0	21	0	34	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	108	0	0	0	7	0	63306	0	0	0	0	0	0	0	21	2488	0	0	0	0	0	0	0	0	52
