Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deinococcus-Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	FBP	Firmicutes	Fusobacteria	Gemmatimonadetes	Kiritimatiellaeota	Patescibacteria	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Tenericutes	Thaumarchaeota	Verrucomicrobia	WPS-2	NA
B17.1F.S22	0	34	0	56	0	0	0	0	0	0	0	0	58	0	0	0	0	0	51536	0	6680	0	0	0	0	11
B17.1M.S21	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42473	0	13779	0	0	0	0	21
B17.2F.S23	0	222	0	39	0	0	0	0	0	0	0	0	108	0	0	0	0	0	63090	0	4861	0	0	7	0	149
BLANK.H11.S95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	5	0	0	0	0	0
BLANK.H12.S96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	1	0	0	0	0	0
CA17.17F.S62	0	25	0	108	0	0	0	0	0	0	12	0	111	0	0	0	0	0	45778	0	1749	0	0	0	12	35
CA17.18F.S63	16	2	0	10	0	0	0	0	0	0	0	0	64	0	0	0	0	0	72403	0	115	0	0	0	0	255
CA17.19F.S64	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55157	0	2	0	0	0	0	31
CA17.20F.S65	0	45	0	5	0	0	0	0	0	0	0	0	47	0	0	0	0	0	62035	0	1	0	0	0	0	83
CA17.21F.S66	0	15	0	34	0	0	0	0	0	0	0	0	31	0	0	0	0	0	63463	0	2520	0	0	0	0	52
CA17.22F.S67	0	8	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	24644	0	6858	0	0	0	0	12
CE17.1F.S78	0	56	0	73	0	0	0	0	0	0	0	0	74	0	0	0	0	0	81059	0	1	0	0	0	0	43
CR17.13F.S68	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11768	0	1379	0	0	0	0	11
CR17.14F.S69	88	267	0	132	0	22	0	0	0	0	0	8	30	0	10	0	0	85	32068	13	1	0	19	28	0	175
CR17.15F.S70	0	91	0	23	0	0	0	0	0	0	0	9	29	0	0	0	0	0	33847	0	2	0	0	0	0	63
CR17.16F.S71	0	744	0	354	0	0	52	0	0	0	0	0	157	0	0	0	0	5	41068	0	1448	0	0	0	0	119
CR17.17F.S72	0	119	0	86	0	0	0	0	0	0	0	0	26	0	0	0	0	17	64155	0	1	0	0	0	0	66
CR17.18F.S73	0	898	0	74	0	0	0	0	0	0	0	4	63	0	0	0	0	0	55438	0	0	0	0	0	0	35
CR17.19F.S74	0	445	0	412	0	0	0	0	0	0	0	0	13	0	0	0	31	25	41145	0	0	0	0	0	0	25
CR17.20F.S75	0	190	38	470	0	0	0	37	0	0	0	0	0	0	0	0	0	0	80487	0	9633	0	0	0	0	83
CR17.21F.S76	0	145	0	208	17	0	0	0	0	0	0	0	45	0	0	0	5	9	56642	0	0	0	0	0	0	183
CR17.22F.S77	0	211	0	105	0	47	0	0	0	0	0	0	52	0	0	0	0	0	78592	0	3	0	0	0	0	20
IS17.21F.S84	0	24	0	159	0	0	0	0	0	0	0	0	45	0	4	0	0	0	73873	0	1	0	0	0	0	19
IS17.22F.S85	0	32	0	53	0	0	0	0	0	0	0	0	74	0	0	0	0	0	62080	0	4	0	0	0	0	33
IS17.23F.S86	0	32	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49865	0	0	0	0	0	0	49
IS17.24F.S87	62	99	0	274	0	0	11	0	0	0	0	0	700	0	0	0	0	0	53762	0	21790	0	0	206	0	175
IS17.25F.S88	0	30	0	140	0	0	0	0	0	0	0	0	93	0	0	0	0	25	59288	0	0	0	0	0	0	108
IS17.26F.S89	0	69	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	74731	0	4	0	0	0	0	106
IS17.27F.S90	0	108	0	13	0	0	0	0	0	0	0	0	16	0	0	0	0	0	67485	0	3	0	0	0	0	89
IS17.28F.S91	0	108	0	64	0	0	0	0	0	0	0	0	0	0	0	0	13	0	49699	0	1	0	0	14	0	44
IS17.29F.S92	0	21	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61939	0	5	0	0	0	0	68
IS17.30F.S93	0	259	0	76	0	0	0	0	0	0	0	0	0	0	0	21	3	0	33880	0	11490	0	0	15	0	30
IS17.37F.S94	20	45	0	61	0	0	0	0	0	0	41	22	78	0	0	0	0	0	38431	0	1	0	0	27	0	124
KF17.1M.S1	0	383	0	186	0	0	0	0	0	0	0	0	374	0	0	0	0	0	44591	0	3	0	0	0	0	238
KF17.2M.S2	0	1762	0	600	144	0	0	0	0	0	0	0	350	0	0	0	0	224	2441	0	1	0	0	0	0	938
