Site_Code,Site_ID,Full_Site_Name,Tick_Sampled,Date_of_Tick_Sample,Soil_Sampled,Date_of_Soil_Sample,date,tdmean,tmax,tmean,tmin,vpdmax,vpdmin,soil_tdmean,soil_tmax,soil_tmean,soil_tmin,soil_vpdmax,soil_vpdmin,prev_30_day_avg_tdmean,prev_30_day_avg_tmax,prev_30_day_avg_tmean,prev_30_day_avg_tmin,prev_30_day_avg_vpdmax,prev_30_day_avg_vpdmin,prev_year_avg_tdmean,prev_year_avg_tmax,prev_year_avg_tmean,prev_year_avg_tmin,prev_year_avg_vpdmax,prev_year_avg_vpdmin,prev_2years_avg_tdmean,prev_2years_avg_tmax,prev_2years_avg_tmean,prev_2years_avg_tmin,prev_2years_avg_vpdmax,prev_2years_avg_vpdmin,prev_5years_avg_tdmean,prev_5years_avg_tmax,prev_5years_avg_tmean,prev_5years_avg_tmin,prev_5years_avg_vpdmax,prev_5years_avg_vpdmin,soil_prev_30_day_avg_tdmean,soil_prev_30_day_avg_tmax,soil_prev_30_day_avg_tmean,soil_prev_30_day_avg_tmin,soil_prev_30_day_avg_vpdmax,soil_prev_30_day_avg_vpdmin,soil_prev_year_avg_tdmean,soil_prev_year_avg_tmax,soil_prev_year_avg_tmean,soil_prev_year_avg_tmin,soil_prev_year_avg_vpdmax,soil_prev_year_avg_vpdmin,soil_prev_2years_avg_tdmean,soil_prev_2years_avg_tmax,soil_prev_2years_avg_tmean,soil_prev_2years_avg_tmin,soil_prev_2years_avg_vpdmax,soil_prev_2years_avg_vpdmin,soil_prev_5years_avg_tdmean,soil_prev_5years_avg_tmax,soil_prev_5years_avg_tmean,soil_prev_5years_avg_tmin,soil_prev_5years_avg_vpdmax,soil_prev_5years_avg_vpdmin,month,year,season,summer_seasonal_avg_tdmean,summer_seasonal_avg_tmax,summer_seasonal_avg_tmean,summer_seasonal_avg_tmin,summer_seasonal_avg_vpdmax,summer_seasonal_avg_vpdmin,fall_seasonal_avg_tdmean,fall_seasonal_avg_tmax,fall_seasonal_avg_tmean,fall_seasonal_avg_tmin,fall_seasonal_avg_vpdmax,fall_seasonal_avg_vpdmin,spring_seasonal_avg_tdmean,spring_seasonal_avg_tmax,spring_seasonal_avg_tmean,spring_seasonal_avg_tmin,spring_seasonal_avg_vpdmax,spring_seasonal_avg_vpdmin,winter_seasonal_avg_tdmean,winter_seasonal_avg_tmax,winter_seasonal_avg_tmean,winter_seasonal_avg_tmin,winter_seasonal_avg_vpdmax,winter_seasonal_avg_vpdmin,prev_year,max_snow_depth,number_snow_days,ndvi_buff,ndvi_point,latitude,longitude
CR17,1,Camp Ripley,Yes,1/06/2017,Yes,18/10/2019,1/06/2017,2.693000078,22.27700043,13.37400055,4.472000122,20.96299934,0.472000003,2.430999994,12.91699982,5.934400082,-1.047999978,7.548999786,0.128999993,10.87693336,24.9904,18.1953675,11.40136671,19.97399995,1.060366666,-0.160646563,10.75589588,4.740901562,-1.273901383,9.492435632,0.551873973,-0.020960271,10.06900822,4.349181789,-1.370509594,8.595468504,0.475319179,1.546117247,12.03446356,6.255945438,0.477671225,9.853598369,0.599216987,-5.67770002,3.48926669,-1.143776624,-5.776833334,4.562900039,0.480466661,1.080599998,12.36804657,6.494510727,0.621413684,10.9435041,0.752989041,-0.048800017,10.79257261,4.904093801,-0.984097269,9.935321927,0.668393151,0.852107931,11.27680438,5.597724832,-0.081025762,9.415829054,0.598854246,6,2017,summer,13.34041308,25.06618472,18.77458788,12.48407609,17.29246737,0.628282606,5.598890149,14.75459342,9.457967535,4.162065919,8.527120875,0.429461537,-0.844032572,11.49605433,5.534380676,-0.426684785,8.931760876,0.693315217,-10.69796666,-2.93431112,-7.840400349,-12.74722218,2.056811099,0.247422221,2016,180.2454834,91,55.68758184,62.34889046,46.10728,-94.37419
CR19,2,Camp Ripley,Yes,16/05/2019,Yes,18/10/2019,16/05/2019,4.291999817,23.6970005,16.70199966,9.706999779,23.7840004,0.640999973,2.430999994,12.91699982,5.934400082,-1.047999978,7.548999786,0.128999993,7.595699962,21.23323325,14.78649301,8.339866624,16.51550004,0.986133338,9.59385751,21.26229316,15.34439114,9.426994526,15.23009315,0.831487672,5.320895882,16.7596863,10.76402313,4.768776706,12.7674411,0.730946576,3.135718343,14.18446247,8.368556829,2.553031776,11.06714851,0.685172056,-5.67770002,3.48926669,-1.143776624,-5.776833334,4.562900039,0.480466661,2.22459451,14.00243563,7.882220379,1.762430147,11.97733425,0.707964384,1.12072877,12.47870548,6.406510314,0.334649326,10.89591781,0.675179453,1.932130946,12.8678011,7.088327616,1.309236163,10.40240056,0.662778083,5,2019,spring,15.43961953,25.79232618,20.1021857,14.41297825,15.8254131,0.620304351,1.418384637,9.462637374,4.793340859,0.124472573,6.079439541,0.358945055,-2.214521782,8.782043489,2.843712806,-3.094793494,7.407847817,0.444826085,-14.47163329,-6.860755624,-12.25270049,-17.64553334,1.325155554,0.165477778,2018,349.0925903,90,71.84400494,74.90959953,46.10728,-94.37419
CA17,3,Carlos Avery State Wildlife Management Area,Yes,21/04/2017,Yes,19/10/2019,21/04/2017,2.407000065,9.520999908,4.351000309,-0.816999972,4.623000145,0.035999998,5.752999783,19.75499916,12.72889996,5.703000069,14.34200001,1.404999971,3.189299975,17.54249986,11.18526724,4.829099987,13.6265999,1.181866661,0.782909559,11.86418631,5.854057841,-0.155816439,10.08628217,0.519679451,1.233469842,11.97367536,6.13178193,0.290119195,10.01837396,0.543382191,2.307454787,13.15680383,7.260637143,1.364763297,10.64324932,0.545430138,-5.267833342,4.886666636,0.075550008,-4.735566657,5.343999982,0.514799998,1.817312318,13.24893422,7.178655661,1.108884919,11.27036988,0.538304111,0.729869851,11.5759534,5.596275864,-0.383050682,10.09824247,0.530352056,1.520967119,11.76966628,6.143691352,0.518093703,9.304609312,0.502772604,4,2017,spring,15.84826084,27.26427172,21.21780532,15.17220652,18.82209788,0.782543478,6.684999977,16.80426377,11.16626425,5.529175832,10.15701096,0.535978022,0.126847836,12.85776082,6.9391199,1.02122828,9.740260873,0.84025,-9.304055596,-1.039311113,-5.670322517,-10.30193331,2.659255548,0.359122221,2016,250.5424652,91,57.47631417,55.02991222,45.35073,-93.0312
TSA17,4,Chippewa Moraine State Rec Area,Yes,28/03/2017,Yes,4/10/2019,28/03/2017,0.442999989,10.07199955,3.688000202,-2.694000006,5.525000095,0.061000001,4.407999992,10.51099968,7.544399738,4.578000069,4.06099987,0.150000006,1.585733367,13.99753335,7.855000377,1.713466645,9.472833248,0.592033331,1.013917811,11.36435347,5.613419451,-0.137273964,8.884224658,0.477024658,0.980735616,11.01938084,5.423761901,-0.17162465,8.733332878,0.451108219,0.935916171,11.32136713,5.567989086,-0.185159999,9.084920561,0.533641096,1.083899987,9.815700026,5.36659985,0.917566678,6.013233284,0.432999995,0.948068508,11.40467946,5.764300831,0.124336973,9.290441112,0.583364385,-0.677857525,9.666028773,3.864301142,-1.937167129,8.529724675,0.570613699,-0.346704648,9.837032877,4.1365803,-1.563576447,8.251450418,0.540452603,3,2017,spring,15.31659782,25.77592381,20.02552265,14.27616308,15.95740217,0.568380435,6.485197822,15.8075165,10.45890158,5.111164855,8.925791219,0.376340661,-0.252858666,11.51184784,5.952239413,0.393369531,8.396739111,0.657358696,-9.61355557,-2.096655534,-6.496933639,-10.8977778,2.192277774,0.283777779,2016,258.784729,86,58.88586369,58.50631525,45.21141,-91.38059
CNF17,5,Chippewa National Forrest,Yes,22/04/2017,Yes,18/10/2019,22/04/2017,-0.474000007,17.27099991,8.377000809,-0.514999986,14.87899971,0.187000006,2.069999933,11.5170002,5.38049984,-0.755999982,6.453999996,0.050000001,-0.318333335,13.83396685,7.604233669,1.37523334,10.78500001,0.910533336,-1.931032862,8.441243853,2.532131628,-3.376879461,7.641473982,0.436153424,-1.395624653,8.609630147,2.839332873,-2.93084521,7.682135632,0.419020548,1.851352328,12.42352164,6.460647925,0.49804274,10.05095015,0.563570411,-6.607866649,1.592433363,-2.707569909,-7.007599991,3.851766662,0.433933329,2.906531482,15.01054248,8.605445343,2.200791805,13.21167123,0.901805477,2.275315067,13.37788902,7.184265261,0.991012341,11.45575069,0.724461643,3.38483507,13.59355287,7.678592906,1.76405096,10.3589748,0.517144109,4,2017,spring,13.69502179,23.92478255,18.27638133,12.6290978,14.04507604,0.669021741,4.836516483,13.40169228,8.438099289,3.475428556,7.3013187,0.451868132,-3.014587013,9.659815248,3.39526099,-2.868804334,8.023728288,0.551347827,-12.61818883,-4.808622181,-9.92424496,-15.04067775,1.770544451,0.222211112,2016,312.9273071,91,63.39554088,61.94200289,47.49541,-93.65031
C17,6,Clayton County,Yes,9/04/2017,Yes,27/09/2019,9/04/2017,6.665999889,23.89100075,15.06200027,6.232999802,19.57900047,3.621000051,8.805999756,21.06999969,14.61339951,8.156999588,15.76900005,0.233999997,4.50903337,16.66063339,10.29550041,3.931166639,11.29486675,0.673466674,3.154208224,13.33414523,7.307718128,1.281646559,10.1180493,0.422172604,3.532853417,13.06563016,7.255124561,1.444910954,9.521817795,0.355420548,3.636185203,14.0309063,8.114287469,2.197967672,10.54427889,0.511368767,6.257233296,15.28289998,9.592986451,3.903166633,7.873333367,0.264666666,3.655068481,15.28445479,9.102742315,2.92149862,12.12089312,0.678545204,2.154938362,13.25535342,7.26695758,1.278934253,10.88130821,0.661935617,2.242547965,12.99447998,7.290398575,1.586727132,10.25049479,0.656185205,4,2017,spring,17.28259785,27.20810872,21.35719665,15.50719566,16.10388046,0.325956519,8.126999994,18.25254948,12.00933024,5.766999958,10.72056044,0.216714287,2.764619562,13.661587,7.860772049,2.060543491,9.262847853,0.600130436,-6.678066682,-0.422111123,-4.653389112,-8.885122189,2.142533318,0.166333334,2016,231.0738678,76,60.2795812,51.36685116,42.67699,-91.59584
KF17,7,Curt's Farm,Yes,6/04/2017,No,NA,6/04/2017,-5.131999969,12.20899963,6.131000519,0.055,10.75,1.958999991,NA,NA,NA,NA,NA,NA,1.706400004,14.20693334,8.427533734,2.649133324,9.99059997,0.795466663,1.221358909,12.23495343,6.299044172,0.363441083,10.11088769,0.54230685,1.336078093,12.00663288,6.248972635,0.491584919,9.93519999,0.563939726,2.455143021,13.48023178,7.622295527,1.764647124,10.87707013,0.6336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2017,spring,15.93394572,27.15684777,21.21066406,15.26541309,18.44248915,0.764250001,6.719153881,16.65862633,11.13004449,5.602494489,9.91645062,0.549868131,0.158467357,12.72718476,6.929141663,1.131913032,9.565434797,0.859543481,-9.233555496,-1.132888867,-5.631822495,-10.13124448,2.598333349,0.368066666,2016,289.7142334,91,56.21756065,57.4834128,45.31014,-93.03169
KF19,8,Curt's Farm,Yes,29/04/2019,No,NA,29/04/2019,-2.078999996,13.14799976,7.082900047,1.018000007,10.93599987,0.56099999,NA,NA,NA,NA,NA,NA,4.160866625,16.48773333,10.65452315,4.821399997,11.84893339,0.567866667,8.554775355,20.12789867,14.09523325,8.062983556,14.03162743,0.606153423,3.330424663,14.46879042,8.350881076,2.233272588,11.14699454,0.551423287,0.66935233,11.34947619,5.319787589,-0.709652612,9.397430137,0.487482739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2019,spring,16.26034786,27.2469239,21.2794249,15.31293476,18.02022815,0.714804349,2.54143957,11.44026376,6.674791509,1.909736267,7.422241761,0.505604394,-1.112369576,10.86131523,4.641329156,-1.578663008,8.905021733,0.461586957,-11.89938886,-4.213055558,-9.044322679,-13.87640008,1.686988884,0.210666667,2018,406.3850708,85,69.09987638,73.58185442,45.31014,-93.03169
GMW19,10,Gordie Mikkelson WMA,Yes,26/04/2019,Yes,19/10/2019,26/04/2019,-2.02699995,21.79500008,13.0739994,4.353000164,22.08200073,2.709000111,5.754000187,19.56599998,12.56589985,5.565999985,14.07299995,1.360000014,2.770766657,16.02553339,10.02201637,4.018566676,12.05683335,0.79500001,7.914449327,19.20067944,13.64272934,8.085213712,13.0478082,0.96811507,3.009330143,13.80371916,8.438652401,3.073900002,10.01205889,0.927134247,1.087009863,11.25367671,6.120339453,0.987327127,8.311412046,1.006980823,-5.336233294,4.857166682,-0.007393348,-4.871966662,5.349333286,0.535566668,-0.132197263,10.56447123,5.352122157,0.140169857,8.564430135,0.971482193,-1.527626031,8.849936974,3.67275836,-1.50416027,7.500520542,0.910738357,-0.100000005,9.824388492,4.806470635,-0.211112874,7.410261364,1.032083289,4,2019,spring,16.11097821,27.08775008,21.05228365,15.01783699,17.7917826,0.669652181,2.380274712,11.30648352,6.513648655,1.721406565,7.350505507,0.551835159,-1.287358672,10.57546741,4.309891079,-1.955684817,8.695913046,0.495630437,-12.11938888,-4.517922172,-9.389655927,-14.26222225,1.640466664,0.220333334,2018,382.6778259,85,73.98587495,76.67893071,45.37001,-93.11268
HI18,11,Higinbotham State Wildlife Management  Area,Yes,13/06/2018,No,NA,13/06/2018,12.11600018,23.20999908,15.64200115,8.076000214,10.76900005,1.164000034,NA,NA,NA,NA,NA,NA,12.85423333,24.07496659,18.24493411,12.41589999,13.50163334,1.758933334,-1.191731505,8.28723563,3.259972361,-1.767219205,6.387608237,0.948526025,2.793810956,13.65352467,8.074060689,2.494910944,9.965731496,1.020046575,0.220771503,10.89431178,4.894699974,-1.104670693,9.041659177,0.63006411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2018,summer,12.68938038,23.39383696,17.67271817,11.95258694,13.11958697,1.688858694,3.412043906,12.13257139,7.500154179,2.868274735,6.778879129,0.849428569,-3.021565215,10.40042396,3.897826266,-2.604673918,9.586630452,1.008184777,-14.45731118,-4.212188898,-10.17785605,-16.14425551,2.378877779,0.419355554,2017,452.1990967,86,56.95768394,43.04308319,47.043127,-91.70883
